==============================================================================
==============================================================================
 Aug. 22 2020                  LANDSAT 5                       Time: 12:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 227 / 65
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2270651415   -6.76724    -54.53370     0.02      0.05     0.05     1 
2270651416   -6.76710    -54.50523    -0.01     -0.01     0.02     1 
2270651417   -6.76695    -54.47675    -0.03     -0.04     0.05     1 
2270651418   -6.76680    -54.44827    -0.00     -0.02     0.02     1 
2270651419   -6.76665    -54.41979     0.01      0.00     0.01     1 
2270651421   -6.76634    -54.36284    -0.16     -0.07     0.17     1 
2270651436   -6.79758    -56.07224     0.11     -0.12     0.16     1 
2270651450   -6.79665    -55.67322     0.00      0.02     0.02     1 
2270651472   -6.79452    -55.04632     0.04      0.11     0.11     1 
2270651474   -6.79429    -54.98934     0.02      0.01     0.02     1 
2270651475   -6.79417    -54.96085     0.02     -0.08     0.08     1 
2270651478   -6.79380    -54.87539    -0.04     -0.01     0.04     1 
2270651479   -6.79368    -54.84690     0.03     -0.02     0.04     1 
2270651481   -6.79342    -54.78993    -0.02     -0.00     0.02     1 
2270651485   -6.79289    -54.67599    -0.00     -0.00     0.00     1 
2270651487   -6.79261    -54.61902     0.01     -0.02     0.03     1 
2270651488   -6.79247    -54.59054     0.01      0.01     0.01     1 
2270651489   -6.79233    -54.56206    -0.01      0.01     0.02     1 
2270651490   -6.79218    -54.53358    -0.01      0.01     0.01     1 
2270651491   -6.79204    -54.50510    -0.05     -0.02     0.06     1 
2270651492   -6.79189    -54.47662    -0.03     -0.05     0.06     1 
2270651493   -6.79174    -54.44814     0.00     -0.02     0.02     1 
2270651494   -6.79159    -54.41966    -0.02     -0.04     0.04     1 
2270651495   -6.79144    -54.39118    -0.11     -0.04     0.12     1 
2270651525   -6.82161    -55.67315    -0.01     -0.02     0.02     1 
